dynamics,T,method,M,ls_init,seed,dt,eps_grid,status,estep_method,analytic_order,qx_moments_method,gather_N,gather_stencil_r,backend,peak_gb,wall,drift_nrmse,drift_nrmse_raw,drift_rel_mse,var_f,lat_pc,lat_raw,ls_final,var_final,source_dir,cell
duffing,1000,efgp,0,0.7,0,0.03753753753753754,0.001,ok,auto,1,gmix_batched,,,gpu,0.13373541831970215,55.072764745913446,0.32861134153921595,0.32795421401204666,0.10798541378820323,0.17995171697491902,0.06170211402647393,0.0619715823475796,0.6473538279533386,0.4432606101036072,demos/_bench_duffing_keepall_out,cell_T1000_efgp_seed0.npz
duffing,10000,efgp,0,0.7,0,0.0375037503750375,0.001,ok,auto,1,gmix_batched,,,gpu,1.1405439376831055,67.19562761695124,0.13903641206631998,0.1570888540661484,0.019331123880275525,0.15794389552215882,0.06120299745285207,0.06157617587338977,1.4611425399780273,3.7188265323638916,demos/_bench_duffing_keepall_out,cell_T10000_efgp_seed0.npz
duffing,100000,efgp,0,0.7,0,0.03750037500375004,0.001,ok,auto,1,gmix_batched,,,gpu,11.26396107673645,97.21222258079797,0.08564930665255532,0.09579807391454212,0.007335803730063457,0.16726950863421872,0.059554454142804386,0.05975750701452249,1.3883861303329468,5.360390663146973,demos/_bench_duffing_keepall_out,cell_T100000_efgp_seed0.npz
duffing,1000,efgp_keepall,0,0.7,0,0.03753753753753754,0.001,ok,auto,1,gmix_full_batched,,,gpu,0.13381314277648926,55.13223127112724,0.3225306550066375,0.3232216297711404,0.10402602341901064,0.17995171697491902,0.05909713009290796,0.05923818216773057,0.6724061369895935,0.47147318720817566,demos/_bench_duffing_keepall_out,cell_T1000_efgp_keepall_seed0.npz
duffing,10000,efgp_keepall,0,0.7,0,0.0375037503750375,0.001,ok,auto,1,gmix_full_batched,,,gpu,1.1405329704284668,68.54705075500533,0.11198626542058901,0.1147775411297306,0.012540923642850609,0.15794389552215882,0.05726964030258498,0.057356404564829204,1.4945437908172607,4.499169826507568,demos/_bench_duffing_keepall_out,cell_T10000_efgp_keepall_seed0.npz
duffing,100000,efgp_keepall,0,0.7,0,0.03750037500375004,0.001,ok,auto,1,gmix_full_batched,,,gpu,11.265359163284302,98.37946825614199,0.04807481753677659,0.04629062863837056,0.0023111880811943616,0.16726950863421872,0.05636179457330803,0.056437271694993275,1.277962327003479,5.02015495300293,demos/_bench_duffing_keepall_out,cell_T100000_efgp_keepall_seed0.npz
duffing,10000,efgp_keepall_gather,0,0.7,0,0.0375037503750375,0.001,ok,auto,1,gmix_full_batched_gather,,,gpu,12.775393962860107,90.7556394401472,0.11198507123096868,0.11477204734907837,0.012540656178605128,0.15794389552215882,0.057269479476749374,0.05735622558467922,1.4945687055587769,4.499043941497803,demos/_bench_duffing_keepall_out,cell_T10000_efgp_keepall_gather_gN512r64_seed0.npz
duffing,1000,sp,49,0.7,0,0.03753753753753754,0.001,ok,n/a,0,n/a,,,gpu,0.0,164.50762915890664,0.313058817689053,0.3170279294802446,0.09800582333286774,0.17995171697491902,0.05882401483767558,0.05939459997465057,0.851099587335885,0.7016717575030976,demos/_bench_duffing_keepall_out,cell_T1000_sp49_seed0.npz
duffing,10000,sp,49,0.7,0,0.0375037503750375,0.001,ok,n/a,0,n/a,,,gpu,0.0,266.64627407095395,0.16238524270765667,0.17056363880705336,0.026368967049224562,0.15794389552215882,0.05725112773767136,0.05738378531672657,1.6580202064349048,7.06996166454352,demos/_bench_duffing_keepall_out,cell_T10000_sp49_seed0.npz
duffing,100000,sp,49,0.7,0,0.03750037500375004,0.001,ok,n/a,0,n/a,,,gpu,0.0,511.511378148105,0.12206810425733154,0.12640428266032724,0.014900622076978762,0.16726950863421872,0.05637105180708307,0.056465030042218436,1.8953422741165544,6.500261189601864,demos/_bench_duffing_keepall_out,cell_T100000_sp49_seed0.npz
